Startup_Name,Sector,Stage,Annual_Revenue_USD,Annual_Sales,Founder_Investment_USD,Employee_Count,Years_Active,Revenue_Growth_Rate_%,Profit_Margin_%
Startup_15,AI/SaaS,Bootstrapped,4550000,182000,355000,125,4,26.0,10.0
Startup_16,E-commerce,Series A,6050000,255000,505000,205,6,31.0,13.7
Startup_17,Energy,Seed,3850000,142000,225000,95,2,16.2,8.3
Startup_18,Retail Tech,Series B,7250000,315000,625000,235,7,43.5,16.5
Startup_19,Mobility,Profitable,8150000,365000,715000,315,9,53.0,19.4
Startup_20,EdTech,Bootstrapped,4650000,187000,360000,130,4,27.8,10.3
Startup_21,FinTech,Series A,5200000,210000,410000,160,5,21.5,10.8
Startup_22,HealthTech,Seed,3300000,154000,260000,90,3,36.9,13.1
Startup_23,AgriTech,Series B,7100000,310000,610000,230,7,41.7,16.3
Startup_24,Logistics,Profitable,8100000,360000,710000,310,8,51.8,19.5
Startup_25,AI/SaaS,Bootstrapped,4600000,184000,360000,130,4,26.4,10.2
Startup_26,E-commerce,Series A,6100000,260000,510000,210,6,31.3,14.0
Startup_27,Energy,Seed,3900000,144000,230000,100,2,16.5,8.5
Startup_28,Retail Tech,Series B,7300000,320000,630000,240,7,44.2,16.8
Startup_29,Mobility,Profitable,8200000,370000,720000,320,9,53.7,19.7
Startup_30,EdTech,Bootstrapped,4700000,189000,365000,135,4,28.5,10.6
Startup_31,FinTech,Series A,5300000,215000,415000,165,5,22.0,11.1
Startup_32,HealthTech,Seed,3350000,156000,265000,95,3,37.8,13.4
Startup_33,AgriTech,Series B,7150000,315000,615000,235,7,42.4,16.6
Startup_34,Logistics,Profitable,8150000,365000,715000,315,8,52.6,19.8
Startup_35,AI/SaaS,Bootstrapped,4650000,186000,365000,135,4,26.8,10.4
Startup_36,E-commerce,Series A,6150000,265000,515000,215,6,31.6,14.3
Startup_37,Energy,Seed,3950000,146000,235000,105,2,16.8,8.7
Startup_38,Retail Tech,Series B,7350000,325000,635000,245,7,44.9,17.1
Startup_39,Mobility,Profitable,8250000,375000,725000,325,9,54.4,20.0
Startup_40,EdTech,Bootstrapped,4750000,191000,370000,140,4,29.2,10.9
Startup_41,FinTech,Series A,5400000,220000,420000,170,5,22.5,11.4
Startup_42,HealthTech,Seed,3400000,158000,270000,100,3,38.7,13.7
Startup_43,AgriTech,Series B,7200000,320000,620000,240,7,43.1,16.9
Startup_44,Logistics,Profitable,8200000,370000,720000,320,8,53.4,20.1
Startup_45,AI/SaaS,Bootstrapped,4700000,188000,370000,140,4,27.2,10.6
Startup_46,E-commerce,Series A,6200000,270000,520000,220,6,31.9,14.6
Startup_47,Energy,Seed,4000000,148000,240000,110,2,17.1,8.9
Startup_48,Retail Tech,Series B,7400000,330000,640000,250,7,45.6,17.4
Startup_49,Mobility,Profitable,8300000,380000,730000,330,9,55.1,20.3
Startup_50,EdTech,Bootstrapped,4800000,193000,375000,145,4,29.9,11.2
... (and so on up to Startup_9970)
